# RadiaCode Energy Calibration Export
# Device: fbc3fad9-3dc5-4e30-8e11-629b07b15146
# Export Time: 2026-01-25 18:39:19
#
# Calibration Coefficients (Energy = a0 + a1*channel + a2*channel^2):
# a0 (offset) = 3.5093544 keV
# a1 (linear) = 2.3624456 keV/channel
# a2 (quadratic) = 4.0645464E-4 keV/channel^2
#
Channel,Energy_keV
425,1080.9646
426,1083.6729
427,1086.3821
428,1089.0920
429,1091.8027
430,1094.5144
431,1097.2268
432,1099.9399
433,1102.6542
434,1105.3690
435,1108.0846
436,1110.8010
437,1113.5183
438,1116.2365
439,1118.9554
440,1121.6750
441,1124.3956
442,1127.1169
443,1129.8391
444,1132.5621
445,1135.2859
446,1138.0105
447,1140.7358
448,1143.4620
449,1146.1891
450,1148.9169
451,1151.6458
452,1154.3751
453,1157.1055
454,1159.8365
455,1162.5684
456,1165.3011
457,1168.0348
458,1170.7690
459,1173.5042
460,1176.2402
461,1178.9769
462,1181.7146
463,1184.4529
464,1187.1923
465,1189.9323
466,1192.6731
467,1195.4148
468,1198.1572
469,1200.9005
470,1203.6448
471,1206.3896
472,1209.1354
473,1211.8818
474,1214.6292
475,1217.3773
476,1220.1263
477,1222.8762
478,1225.6268
479,1228.3782
480,1231.1304
481,1233.8834
482,1236.6373
483,1239.3921
484,1242.1476
485,1244.9038
486,1247.6609
487,1250.4188
488,1253.1775
489,1255.9371
490,1258.6975
491,1261.4587
492,1264.2207
493,1266.9835
494,1269.7471
495,1272.5115
496,1275.2769
497,1278.0428
498,1280.8097
499,1283.5774
500,1286.3458
501,1289.1151
502,1291.8853
503,1294.6563
504,1297.4280
505,1300.2006
506,1302.9739
507,1305.7480
508,1308.5231
509,1311.2990
510,1314.0756
511,1316.8529
512,1319.6312
513,1322.4103
514,1325.1901
515,1327.9707
516,1330.7523
517,1333.5347
518,1336.3177
519,1339.1017
520,1341.8865
521,1344.6720
522,1347.4585
523,1350.2456
524,1353.0336
525,1355.8224
526,1358.6121
527,1361.4025
528,1364.1936
529,1366.9858
530,1369.7787
531,1372.5724
532,1375.3668
533,1378.1621
534,1380.9583
535,1383.7554
536,1386.5531
537,1389.3516
538,1392.1510
539,1394.9512
540,1397.7522
541,1400.5540
542,1403.3567
543,1406.1602
544,1408.9644
545,1411.7694
546,1414.5753
547,1417.3820
548,1420.1896
549,1422.9979
550,1425.8070
551,1428.6169
552,1431.4277
553,1434.2393
554,1437.0516
555,1439.8650
556,1442.6790
557,1445.4938
558,1448.3093
559,1451.1259
560,1453.9431
561,1456.7612
562,1459.5801
563,1462.3998
564,1465.2203
565,1468.0416
566,1470.8638
567,1473.6866
568,1476.5105
569,1479.3351
570,1482.1605
571,1484.9867
572,1487.8137
573,1490.6415
574,1493.4702
575,1496.2997
576,1499.1300
577,1501.9611
578,1504.7930
579,1507.6256
580,1510.4591
581,1513.2936
582,1516.1287
583,1518.9646
584,1521.8014
585,1524.6389
586,1527.4773
587,1530.3167
588,1533.1567
589,1535.9976
590,1538.8391
591,1541.6816
592,1544.5249
593,1547.3689
594,1550.2140
595,1553.0597
596,1555.9061
597,1558.7535
598,1561.6017
599,1564.4506
600,1567.3005
601,1570.1510
602,1573.0024
603,1575.8546
604,1578.7076
605,1581.5615
606,1584.4163
607,1587.2717
608,1590.1279
609,1592.9851
610,1595.8430
611,1598.7017
612,1601.5612
613,1604.4216
614,1607.2828
615,1610.1448
616,1613.0076
617,1615.8711
618,1618.7355
619,1621.6008
620,1624.4669
621,1627.3337
622,1630.2014
623,1633.0698
624,1635.9391
625,1638.8092
626,1641.6802
627,1644.5519
628,1647.4244
629,1650.2979
630,1653.1719
631,1656.0469
632,1658.9229
633,1661.7994
634,1664.6768
635,1667.5551
636,1670.4341
637,1673.3140
638,1676.1946
639,1679.0762
640,1681.9585
641,1684.8416
642,1687.7255
643,1690.6101
644,1693.4957
645,1696.3822
646,1699.2693
647,1702.1572
648,1705.0461
649,1707.9357
650,1710.8260
651,1713.7173
652,1716.6095
653,1719.5023
654,1722.3960
655,1725.2904
656,1728.1858
657,1731.0818
658,1733.9789
659,1736.8766
660,1739.7751
661,1742.6746
662,1745.5747
663,1748.4756
664,1751.3774
665,1754.2802
666,1757.1836
667,1760.0878
668,1762.9929
669,1765.8987
670,1768.8054
671,1771.7130
672,1774.6213
673,1777.5304
674,1780.4403
675,1783.3511
676,1786.2626
677,1789.1749
678,1792.0883
679,1795.0022
680,1797.9170
681,1800.8326
682,1803.7490
683,1806.6663
684,1809.5845
685,1812.5033
686,1815.4230
687,1818.3435
688,1821.2648
689,1824.1869
690,1827.1099
691,1830.0337
692,1832.9583
693,1835.8837
694,1838.8098
695,1841.7368
696,1844.6647
697,1847.5934
698,1850.5228
699,1853.4530
700,1856.3840
701,1859.3159
702,1862.2487
703,1865.1821
704,1868.1166
705,1871.0516
706,1873.9875
707,1876.9243
708,1879.8619
709,1882.8003
710,1885.7396
711,1888.6796
712,1891.6204
713,1894.5620
714,1897.5045
715,1900.4478
716,1903.3918
717,1906.3368
718,1909.2825
719,1912.2290
720,1915.1763
721,1918.1244
722,1921.0734
